Original department,Facility type,Standardised to,Rows
Kitchen,School,Kitchen,1
Laboratory / Computer laboratory,School,Computer laboratory / Laboratory,1
Laboratory / Maternity,Health facility,Laboratory / Maternity ward,1
Laboratory / maternity,Health facility,Laboratory / Maternity ward,1
Laboratory / Reception / Antenatal room,Health facility,Antenatal room / Laboratory / Reception,1
Laboratory / Store,Health facility,Laboratory / Store,1
Laboratory / store,Health facility,Laboratory / Store,1
Laboratory area,Health facility,Laboratory,1
Laboratory physics,School,Physics laboratory,1
Laboratory suite,Health facility,Laboratory,1
"Laboratory, labour suite and MCH",Health facility,Laboratory / Labour suite / MCH,1
Labour,Health facility,Labour suite,1
Labour / Maternity ward,Health facility,Labour suite / Maternity ward,1
Labour room,Health facility,Labour suite,1
Labour suit / antenatal room / ward,Health facility,Antenatal room / General ward / Labour suite,1
Labour suit / male ward,Health facility,Labour suite / Male ward,1
Labour suite / antenatal room,Health facility,Antenatal room / Labour suite,1
Labour suite / MCH,Health facility,Labour suite / MCH,1
Labour suite / records room,Health facility,Labour suite / Records room,1
Labour suite / Store,Health facility,Labour suite / Store,1
Labour ward,Health facility,Labour suite,1
Labour ward / Labour suite,Health facility,Labour suite,1
Learners toilets,School,Learners toilets,1
Low health room / medical store,Health facility,Consultation room / Store,1
Male / female ward,Health facility,Female ward / Male ward,1
Male ward,Health facility,Male ward,1
Maternal and child health ward,Health facility,MCH ward,1
Maternal ward,Health facility,Maternity ward,1
Maternity / OPD,Health facility,Maternity ward / OPD,1
Maternity / Store,Health facility,Maternity ward / Store,1
Maternity ward / Antenatal,Health facility,Antenatal room / Maternity ward,1
Maternity ward / antenatal ward,Health facility,Antenatal ward / Maternity ward,1
Maternity ward / labour room,Health facility,Labour suite / Maternity ward,1
Maternity ward / OPD / Delivery room,Health facility,Delivery room / Maternity ward / OPD,1
Maternity ward / Post natal ward,Health facility,Maternity ward / Postnatal ward,1
MCH / General,Health facility,General / MCH,1
MCH / OPD,Health facility,MCH / OPD,1
MCH ward,Health facility,MCH ward,1
Medical,Health facility,Health,1
Medical ward,Health facility,Medical ward,1
O.P.D / dispensary,Health facility,Dispensary / OPD,1
O.P.D / IPD,Health facility,IPD / OPD,1
O.P.D / Maternal ward,Health facility,Maternity ward / OPD,1
O.P.D / Maternity Postnatal ward,Health facility,Maternity ward / OPD / Postnatal ward,1
O.P.D / Post natal,Health facility,OPD / Postnatal ward,1
O.P.D / records,Health facility,OPD / Records room,1
Office in charge,Health facility,In-charge office,1
Office in charge / M.C.H,Health facility,In-charge office / MCH,1
Office of Incharge,Health facility,In-charge office,1
Office Reception,School,Reception,1
Offices and staff room,School,Administration / Staff room,1
OPD / E.P.I,Health facility,EPI / OPD,1
OPD / family planning room,Health facility,Family planning room / OPD,1
OPD / MCH and all,Health facility,MCH / OPD,1
OPD / Store,Health facility,OPD / Store,1
OPD ward,Health facility,OPD,1
Outpatient / consultation room,Health facility,Consultation room / OPD,1
Post natal ward / M.C.H,Health facility,MCH / Postnatal ward,1
Postnatal room / Labour suite,Health facility,Labour suite / Postnatal room,1
Power room,Health facility,Power room,1
Public,Health facility,General,1
Quarter staff,Health facility,Staff quarters,1
Reception,Health facility,Reception,1
Reception / O.P.D,Health facility,OPD / Reception,1
Reception / Office / Staff room,School,Administration / Reception / Staff room,1
Reception / OPD,Health facility,OPD / Reception,1
Reception office / Computer laboratory / Control room,School,Computer laboratory / Control room / Reception,1
Reception office / Staff room,School,Reception / Staff room,1
Records department,Health facility,Records room,1
Records department room / OPD admission room,Health facility,OPD / Records room,1
Records room / dispensing room / laboratory,Health facility,Dispensing room / Laboratory / Records room,1
Sanitation,Health facility,Sanitation,1
Sanitation & Hygiene,School,Sanitation and hygiene,1
School / Staff quarters,School,Staff quarters,1
School latrines,School,Learners toilets,1
Senior One class to Senior Six / Study room,School,Classroom / Study room,1
Shelter / house houses,Health facility,Staff housing,1
Shelter / housing / home,Health facility,Staff housing,1
Sluice room / immunisation room,Health facility,Immunisation room / Sluice room,1
Sluice room / labour suite,Health facility,Labour suite / Sluice room,1
Staff kitchen,School,Kitchen,1
Staff office / lockers,Health facility,Staff room,1
Staff quarter,School,Staff quarters,1
Staff quarter,Health facility,Staff quarters,1
Staff room / general,Health facility,General / Staff room,1
Staff room / Head teacher's office / Bursar's office / Reception office,School,Administration / Reception / Staff room,1
Staff room / Laboratory science / Computer laboratory / Library,School,Computer laboratory / Laboratory / Library / Staff room,1
Staff room and office,School,Administration / Staff room,1
Staff toilet,Health facility,Staff toilets,1
Staffing quarters,Health facility,Staff quarters,1
Store,School,Store,1
Store / Laboratory,Health facility,Laboratory / Store,1
Store / Maternity / Antenatal ward,Health facility,Antenatal ward / Maternity ward / Store,1
Store / Post natal ward,Health facility,Postnatal ward / Store,1
Store medical,Health facility,Store,1
Teachers' quarters,School,Staff quarters,1
Theatre / MCH,Health facility,MCH / Theatre,1
Total block,School,Buildings,1
Triage / Office kept,Health facility,Administration / Triage,1
Waiting / dressing room,Health facility,Waiting room,1
Waiting area / dispensing,Health facility,Dispensing room / Waiting room,1
Ward / labour suite,Health facility,General ward / Labour suite,1
Ward / labour suite / immunisation room,Health facility,General ward / Immunisation room / Labour suite,1
Ward / Maternity room / Lab / Labour suite,Health facility,General ward / Laboratory / Labour suite / Maternity room,1
Ward / O.P.D,Health facility,General ward / OPD,1
